Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
54499,"The Man in the Iron Mask (Le vicomte de Bragelonne, #4)",Alexandre Dumas,"Dumas, Alexandre","Joachim Neugroschel, Francine du Plessix Gray","=""0140439242""","=""9780140439243""",3,3.99,Penguin Books,Unknown Binding,470,2003,1847,,2020/06/22,,,read,,,,1,0
264158,The Raven,Edgar Allan Poe,"Poe, Edgar Allan",Gustave Doré,"=""0486290727""","=""9780486290720""",4,4.29,Dover Publications,Paperback,64,1996,1845,,2020/06/22,,,read,,,,1,0
11870085,The Fault in Our Stars,John Green,"Green, John",,"=""""","=""""",0,4.13,Dutton Books,Hardcover,313,2012,2012,,2020/06/22,to-read,to-read (#78),to-read,,,,0,0
4406,East of Eden,John Steinbeck,"Steinbeck, John",,"=""0142000655""","=""9780142000656""",0,4.43,Penguin Books,Paperback,601,2002,1952,,2020/06/22,to-read,to-read (#77),to-read,,,,0,0
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",0,4.12,Harper,Mass Market Paperback,417,2003,1967,,2020/06/22,to-read,to-read (#76),to-read,,,,0,0
111389,Funny Boy,Shyam Selvadurai,"Selvadurai, Shyam",,"=""015600500X""","=""9780156005005""",0,4.06,Harvest,Paperback,320,1997,1994,,2020/06/22,to-read,to-read (#75),to-read,,,,0,0
48862,Brighton Rock,Graham Greene,"Greene, Graham",J.M. Coetzee,"=""""","=""""",0,3.69,Vintage,Paperback,269,2004,1938,,2020/06/22,to-read,to-read (#74),to-read,,,,0,0
9777,The God of Small Things,Arundhati Roy,"Roy, Arundhati",,"=""0679457313""","=""9780679457312""",0,3.96,Random House,Paperback,321,1997,1997,,2020/06/22,to-read,to-read (#73),to-read,,,,0,0
15783514,The Ocean at the End of the Lane,Neil Gaiman,"Gaiman, Neil",,"=""0062255657""","=""9780062255655""",0,4.02,William Morrow Books,Hardcover,181,2013,2013,,2020/06/22,to-read,to-read (#72),to-read,,,,0,0
761381,The Halloween Tree,Ray Bradbury,"Bradbury, Ray",,"=""0375803017""","=""9780375803017""",0,3.77,Yearling,Paperback,145,2001,1972,,2020/06/22,to-read,to-read (#71),to-read,,,,0,0
49977811,Swimming in the Dark,Tomasz Jedrowski,"Jedrowski, Tomasz",,"=""006289000X""","=""9780062890009""",0,4.25,William Morrow,Hardcover,191,2020,2020,,2020/06/22,to-read,to-read (#70),to-read,,,,0,0
6900,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,"Albom, Mitch",,"=""""","=""""",3,4.20,Warner,Paperback,210,2000,1997,,2020/06/18,,,read,,,,1,0
21339881,Two Years' Vacation,Jules Verne,"Verne, Jules",,"=""1482723492""","=""9781482723496""",5,3.97,CreateSpace Independent Publishing Platform,Paperback,162,2013,1888,,2020/06/21,,,read,,,,1,0
34080,The Waste Land,T.S. Eliot,"Eliot, T.S.",Michael North,"=""0393974995""","=""9780393974997""",0,4.11,W.W. Norton & Company,Paperback,288,2001,1922,,2020/06/21,to-read,to-read (#69),to-read,,,,0,0
18796,In Search of Lost Time,Marcel Proust,"Proust, Marcel","C.K. Scott Moncrieff, Terence Kilmartin, Andreas Mayor, D.J. Enright","=""0812969642""","=""9780812969641""",0,4.34,Modern Library,Paperback,4211,2003,1913,,2020/06/21,to-read,to-read (#68),to-read,,,,0,0
18269507,Demon Dentist,David Walliams,"Walliams, David",Tony Ross,"=""0007453566""","=""9780007453566""",4,4.15,Harper Collins Children's Books,Hardcover,443,2013,,,2020/06/21,,,read,,,,1,0
12727215,Gangsta Granny,David Walliams,"Walliams, David",Tony Ross,"=""0007371446""","=""9780007371440""",3,4.24,HarperCollins Children's books,Hardcover,299,2011,2011,,2020/06/21,,,read,,,,1,0
27712,The Neverending Story,Michael Ende,"Ende, Michael",Ralph Manheim,"=""0525457585""","=""9780525457589""",5,4.18,Dutton Children's Books,Hardcover,396,1997,1979,,2020/06/21,,,read,,,,1,0
25189315,Smoke Gets in Your Eyes & Other Lessons from the Crematory,Caitlin Doughty,"Doughty, Caitlin",,"=""0393351904""","=""9780393351903""",0,4.22,W. W. Norton & Company,Paperback,254,2015,2014,,2020/06/21,to-read,to-read (#67),to-read,,,,0,0
